STATE	LCOLOR	RCOLOR
AA	#F0F000	#F0F000
AB	#F0F000	#808080
AC	#F0F000	#F08080
AD	#F0F000	#1010F0
AE	#F0F000	#00A0F0
AF	#F0F000	#00A000
AG	#F0F000	#F00000
AH	#F0F000	#9000F4
BB	#808080	#808080
BC	#808080	#F08080
BD	#808080	#1010F0
BE	#808080	#00A0F0
BF	#808080	#00A000
BG	#808080	#F00000
BH	#808080	#9000F4
CC	#F08080	#F08080
CD	#F08080	#1010F0
CE	#F08080	#00A0F0
CF	#F08080	#00A000
CG	#F08080	#F00000
CH	#F08080	#9000F4
DD	#1010F0	#1010F0
DE	#1010F0	#00A0F0
DF	#1010F0	#00A000
DG	#1010F0	#F00000
DH	#1010F0	#9000F4
EE	#00A0F0	#00A0F0
EF	#00A0F0	#00A000
EG	#00A0F0	#F00000
EH	#00A0F0	#9000F4
FF	#00A000	#00A000
FG	#00A000	#F00000
FH	#00A000	#9000F4
GG	#F00000	#F00000
GH	#F00000	#9000F4
HH	#9000F4	#9000F4
